Baudrate:  115200Hz 	OVSR: 17 	DIV:   20 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x0252C014
Baudrate:  529000Hz 	OVSR: 15 	DIV:    5 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.01  	BaudrateSetting = 0x0010A005
Baudrate:  530000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.04  	BaudrateSetting = 0x07F7D004
Baudrate:  531000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.11  	BaudrateSetting = 0x03BB5007
Baudrate:  532000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.08  	BaudrateSetting = 0x05DD5007
Baudrate:  533000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.06  	BaudrateSetting = 0x05557006
Baudrate:  534000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.12  	BaudrateSetting = 0x02AA7006
Baudrate:  535000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.31  	BaudrateSetting = 0x02AA7006
Baudrate:  536000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 36D 	Error(%) = 0.17  	BaudrateSetting = 0x036DD004
Baudrate:  537000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.02  	BaudrateSetting = 0x05B5D004
Baudrate:  538000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.03  	BaudrateSetting = 0x05B55007
Baudrate:  539000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.05  	BaudrateSetting = 0x02527006
Baudrate:  540000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.10  	BaudrateSetting = 0x0555D004
Baudrate:  541000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.08  	BaudrateSetting = 0x02AAD004
Baudrate:  542000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.07  	BaudrateSetting = 0x03BB9005
Baudrate:  543000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.12  	BaudrateSetting = 0x05DD9005
Baudrate:  544000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.04  	BaudrateSetting = 0x05555007
Baudrate:  545000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.14  	BaudrateSetting = 0x02AA5007
Baudrate:  546000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 36D 	Error(%) = 0.18  	BaudrateSetting = 0x036D9005
Baudrate:  547000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.00  	BaudrateSetting = 0x05AD9005
Baudrate:  548000Hz 	OVSR: 18 	DIV:    4 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.01  	BaudrateSetting = 0x0444D004
Baudrate:  549000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]: 408 	Error(%) = 0.15  	BaudrateSetting = 0x04087006
Baudrate:  550000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.03  	BaudrateSetting = 0x00107006
Baudrate:  551000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.04  	BaudrateSetting = 0x02525007
Baudrate:  552000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.05  	BaudrateSetting = 0x02AA9005
Baudrate:  553000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.23  	BaudrateSetting = 0x02AA9005
Baudrate:  554000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.28  	BaudrateSetting = 0x00007006
Baudrate:  555000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.10  	BaudrateSetting = 0x00007006
Baudrate:  556000Hz 	OVSR: 12 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.08  	BaudrateSetting = 0x00007006
Baudrate:  557000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.09  	BaudrateSetting = 0x02529005
Baudrate:  558000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.09  	BaudrateSetting = 0x04445007
Baudrate:  559000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.08  	BaudrateSetting = 0x07EFC004
Baudrate:  560000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 3F7 	Error(%) = -0.10  	BaudrateSetting = 0x03F7C004
Baudrate:  561000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.07  	BaudrateSetting = 0x02229005
Baudrate:  562000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 3F7 	Error(%) = -0.11  	BaudrateSetting = 0x03F76006
Baudrate:  563000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.07  	BaudrateSetting = 0x03BBC004
Baudrate:  564000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.07  	BaudrateSetting = 0x00085007
Baudrate:  565000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.11  	BaudrateSetting = 0x00105007
Baudrate:  566000Hz 	OVSR: 14 	DIV:    5 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.07  	BaudrateSetting = 0x00089005
Baudrate:  567000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.07  	BaudrateSetting = 0x03BB6006
Baudrate:  568000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.11  	BaudrateSetting = 0x05DD6006
Baudrate:  569000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 6DD 	Error(%) = -0.29  	BaudrateSetting = 0x06DD6006
Baudrate:  570000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.25  	BaudrateSetting = 0x00005007
Baudrate:  571000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.08  	BaudrateSetting = 0x00005007
Baudrate:  572000Hz 	OVSR: 10 	DIV:    7 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.10  	BaudrateSetting = 0x00005007
Baudrate:  573000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.08  	BaudrateSetting = 0x05AD6006
Baudrate:  574000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.09  	BaudrateSetting = 0x05B56006
Baudrate:  575000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 14A 	Error(%) = 0.09  	BaudrateSetting = 0x014AC004
Baudrate:  576000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x0252C004
Baudrate:  577000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.07  	BaudrateSetting = 0x07F78005
Baudrate:  578000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 5F7 	Error(%) = -0.25  	BaudrateSetting = 0x05F78005
Baudrate:  579000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.12  	BaudrateSetting = 0x05556006
Baudrate:  580000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.05  	BaudrateSetting = 0x02AA6006
Baudrate:  581000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.14  	BaudrateSetting = 0x03BB8005
Baudrate:  582000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 5DD 	Error(%) = -0.03  	BaudrateSetting = 0x05DD8005
Baudrate:  583000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]: 208 	Error(%) = 0.16  	BaudrateSetting = 0x0208C004
Baudrate:  584000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.01  	BaudrateSetting = 0x0010C004
Baudrate:  585000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]:  20 	Error(%) = -0.18  	BaudrateSetting = 0x0020C004
Baudrate:  586000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.01  	BaudrateSetting = 0x024A6006
Baudrate:  587000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.03  	BaudrateSetting = 0x05AD8005
Baudrate:  588000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.04  	BaudrateSetting = 0x0000C004
Baudrate:  589000Hz 	OVSR: 17 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.13  	BaudrateSetting = 0x0000C004
Baudrate:  590000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 5FF 	Error(%) = -0.30  	BaudrateSetting = 0x05FFB004
Baudrate:  591000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.27  	BaudrateSetting = 0x05558005
Baudrate:  592000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.10  	BaudrateSetting = 0x05558005
Baudrate:  593000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.07  	BaudrateSetting = 0x04446006
Baudrate:  594000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:  44 	Error(%) = -0.24  	BaudrateSetting = 0x00446006
Baudrate:  595000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 77B 	Error(%) = 0.34  	BaudrateSetting = 0x077BB004
Baudrate:  596000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 7BB 	Error(%) = 0.17  	BaudrateSetting = 0x07BBB004
Baudrate:  597000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.00  	BaudrateSetting = 0x03BBB004
Baudrate:  598000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.02  	BaudrateSetting = 0x024A8005
Baudrate:  599000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.04  	BaudrateSetting = 0x00086006
Baudrate:  600000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.12  	BaudrateSetting = 0x00106006
Baudrate:  601000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.08  	BaudrateSetting = 0x05ADB004
Baudrate:  602000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.08  	BaudrateSetting = 0x05B5B004
Baudrate:  603000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.13  	BaudrateSetting = 0x02228005
Baudrate:  604000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.04  	BaudrateSetting = 0x04448005
Baudrate:  605000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.18  	BaudrateSetting = 0x00006006
Baudrate:  606000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.01  	BaudrateSetting = 0x00006006
Baudrate:  607000Hz 	OVSR: 11 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.15  	BaudrateSetting = 0x00006006
Baudrate:  608000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]: 208 	Error(%) = 0.25  	BaudrateSetting = 0x02088005
Baudrate:  609000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.09  	BaudrateSetting = 0x00088005
Baudrate:  610000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.08  	BaudrateSetting = 0x00108005
Baudrate:  611000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.05  	BaudrateSetting = 0x0252B004
Baudrate:  612000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.17  	BaudrateSetting = 0x07EF5006
Baudrate:  613000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.00  	BaudrateSetting = 0x07EF5006
Baudrate:  614000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 3F7 	Error(%) = -0.16  	BaudrateSetting = 0x03F75006
Baudrate:  615000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.06  	BaudrateSetting = 0x00008005
Baudrate:  616000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.10  	BaudrateSetting = 0x00008005
Baudrate:  617000Hz 	OVSR: 13 	DIV:    5 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.26  	BaudrateSetting = 0x00008005
Baudrate:  618000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 77B 	Error(%) = 0.35  	BaudrateSetting = 0x077B5006
Baudrate:  619000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.19  	BaudrateSetting = 0x03BB5006
Baudrate:  620000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 3BB 	Error(%) = 0.03  	BaudrateSetting = 0x03BB5006
Baudrate:  621000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.06  	BaudrateSetting = 0x07EF7005
Baudrate:  622000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 3F7 	Error(%) = -0.10  	BaudrateSetting = 0x03F77005
Baudrate:  623000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 5F7 	Error(%) = -0.26  	BaudrateSetting = 0x05F77005
Baudrate:  624000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.16  	BaudrateSetting = 0x0000B004
Baudrate:  625000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.00  	BaudrateSetting = 0x0000B004
Baudrate:  626000Hz 	OVSR: 16 	DIV:    4 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.16  	BaudrateSetting = 0x0000B004
Baudrate:  627000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.07  	BaudrateSetting = 0x05AD5006
Baudrate:  628000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.09  	BaudrateSetting = 0x05B55006
Baudrate:  629000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.15  	BaudrateSetting = 0x07EFA004
Baudrate:  630000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.01  	BaudrateSetting = 0x07F7A004
Baudrate:  631000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 5F7 	Error(%) = -0.17  	BaudrateSetting = 0x05F7A004
Baudrate:  632000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 36D 	Error(%) = 0.26  	BaudrateSetting = 0x036D7005
Baudrate:  633000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 5AD 	Error(%) = 0.10  	BaudrateSetting = 0x05AD7005
Baudrate:  634000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 5B5 	Error(%) = -0.05  	BaudrateSetting = 0x05B57005
Baudrate:  635000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.01  	BaudrateSetting = 0x02AA5006
Baudrate:  636000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.17  	BaudrateSetting = 0x02AA5006
Baudrate:  637000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 77F 	Error(%) = 0.27  	BaudrateSetting = 0x077FF003
Baudrate:  638000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 7EF 	Error(%) = 0.11  	BaudrateSetting = 0x07EFF003
Baudrate:  639000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 7F7 	Error(%) = -0.04  	BaudrateSetting = 0x07F7F003
Baudrate:  640000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.00  	BaudrateSetting = 0x05557005
Baudrate:  641000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 2AA 	Error(%) = -0.16  	BaudrateSetting = 0x02AA7005
Baudrate:  642000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.09  	BaudrateSetting = 0x024A5006
Baudrate:  643000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.07  	BaudrateSetting = 0x02525006
Baudrate:  644000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.18  	BaudrateSetting = 0x0555A004
Baudrate:  645000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 555 	Error(%) = 0.03  	BaudrateSetting = 0x0555A004
Baudrate:  646000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.07  	BaudrateSetting = 0x024A7005
Baudrate:  647000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 252 	Error(%) = -0.08  	BaudrateSetting = 0x02527005
Baudrate:  648000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 492 	Error(%) = -0.24  	BaudrateSetting = 0x04927005
Baudrate:  649000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.22  	BaudrateSetting = 0x02225006
Baudrate:  650000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.06  	BaudrateSetting = 0x02225006
Baudrate:  651000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.09  	BaudrateSetting = 0x04445006
Baudrate:  652000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.16  	BaudrateSetting = 0x02227005
Baudrate:  653000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]: 222 	Error(%) = 0.01  	BaudrateSetting = 0x02227005
Baudrate:  654000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 24A 	Error(%) = 0.06  	BaudrateSetting = 0x024AF003
Baudrate:  655000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 292 	Error(%) = -0.09  	BaudrateSetting = 0x0292F003
Baudrate:  656000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]: 444 	Error(%) = -0.04  	BaudrateSetting = 0x0444A004
Baudrate:  657000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]:  44 	Error(%) = -0.19  	BaudrateSetting = 0x0044A004
Baudrate:  658000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.07  	BaudrateSetting = 0x00085006
Baudrate:  659000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.09  	BaudrateSetting = 0x00105006
Baudrate:  660000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.03  	BaudrateSetting = 0x00107005
Baudrate:  661000Hz 	OVSR: 15 	DIV:    4 	OVSR_ADJ[10:0]:   8 	Error(%) = 0.02  	BaudrateSetting = 0x0008A004
Baudrate:  662000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]: 408 	Error(%) = 0.08  	BaudrateSetting = 0x0408F003
Baudrate:  663000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]:  10 	Error(%) = -0.07  	BaudrateSetting = 0x0010F003
Baudrate:  664000Hz 	OVSR: 20 	DIV:    3 	OVSR_ADJ[10:0]:  40 	Error(%) = -0.22  	BaudrateSetting = 0x0040F003
Baudrate:  665000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.25  	BaudrateSetting = 0x00007005
Baudrate:  666000Hz 	OVSR: 12 	DIV:    5 	OVSR_ADJ[10:0]:   0 	Error(%) = 0.10  	BaudrateSetting = 0x00007005
Baudrate:  667000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.05  	BaudrateSetting = 0x00005006
Baudrate:  668000Hz 	OVSR: 10 	DIV:    6 	OVSR_ADJ[10:0]:   0 	Error(%) = -0.20  	BaudrateSetting = 0x00005006
Baudrate:  669000Hz 	OVSR: 19 	DIV:    3 	OVSR_ADJ[10:0]: 77F 	Error(%) = 0.28  	BaudrateSetting = 0x077FE003
Baudrate:  670000Hz 	OVSR: 19 	DIV:    3 	OVSR_ADJ[10:0]: 7DF 	Error(%) = 0.13  	BaudrateSetting = 0x07DFE003
